Timestamp,H.Venus
,
1906-06-09 12:00,150.032
1906-09-30 12:00,330.545
1907-01-20 12:00,150.524
1907-05-13 12:00,331.022
1907-09-02 12:00,151.022
1907-12-24 12:00,331.505
1908-04-14 12:00,151.518
1908-08-04 12:00,330.405
1908-11-24 12:00,150.382
1909-03-17 12:00,330.892
1909-07-07 12:00,150.879
1909-10-28 12:00,331.375
1910-02-17 12:00,151.378
1910-06-09 12:00,330.264
1910-09-29 12:00,150.251
1911-01-20 12:00,330.748
1911-05-12 12:00,150.746
1911-09-02 12:00,331.234
1911-12-23 12:00,151.234
1912-04-13 12:00,330.137
1912-08-03 12:00,150.107
1912-11-24 12:00,330.621
1913-03-16 12:00,150.607
1913-07-07 12:00,331.1
1913-10-27 12:00,151.102
1914-02-16 12:00,330.002
1914-06-09 12:00,151.597
1914-09-29 12:00,330.487
1915-01-19 12:00,150.464
1915-05-12 12:00,330.967
1915-09-01 12:00,150.962
1915-12-23 12:00,331.451
1916-04-13 12:00,151.459
1916-08-03 12:00,330.352
1916-11-23 12:00,150.323
1917-03-16 12:00,330.839
1917-07-06 12:00,150.819
1917-10-27 12:00,331.323
1918-02-16 12:00,151.318
1918-06-08 12:00,330.211
1918-09-28 12:00,150.19
1919-01-19 12:00,330.694
1919-05-11 12:00,150.684
1919-09-01 12:00,331.179
1919-12-22 12:00,151.17
1920-04-12 12:00,330.079
1920-08-02 12:00,150.042
1920-11-23 12:00,330.561
1921-03-15 12:00,150.539
1921-07-06 12:00,331.039
1921-10-26 12:00,151.034
1922-02-16 12:00,331.522
1922-06-08 12:00,151.527
1922-09-28 12:00,330.421
1923-01-18 12:00,150.393
1923-05-11 12:00,330.899
1923-08-31 12:00,150.89
1923-12-22 12:00,331.381
1924-04-12 12:00,151.386
1924-08-02 12:00,330.281
1924-11-22 12:00,150.249
1925-03-15 12:00,330.767
1925-07-05 12:00,150.745
1925-10-26 12:00,331.25
1926-02-15 12:00,151.243
1926-06-07 12:00,330.138
1926-09-27 12:00,150.114
1927-01-18 12:00,330.621
1927-05-10 12:00,150.607
1927-08-31 12:00,331.107
1927-12-21 12:00,151.093
1928-04-11 12:00,330.009
1928-08-02 12:00,151.59
1928-11-22 12:00,330.492
1929-03-14 12:00,150.464
1929-07-05 12:00,330.971
1929-10-25 12:00,150.96
1930-02-15 12:00,331.456
1930-06-07 12:00,151.455
1930-09-27 12:00,330.357
1931-01-17 12:00,150.322
1931-05-10 12:00,330.837
1931-08-30 12:00,150.821
1931-12-21 12:00,331.32
1932-04-11 12:00,151.319
1932-08-01 12:00,330.222
1932-11-21 12:00,150.185
1933-03-14 12:00,330.709
1933-07-04 12:00,150.682
1933-10-25 12:00,331.194
1934-02-14 12:00,151.182
1934-06-06 12:00,330.083
1934-09-26 12:00,150.055
1935-01-17 12:00,330.566
1935-05-09 12:00,150.55
1935-08-30 12:00,331.053
1935-12-20 12:00,151.037
