Timestamp,G.Venus
,
1906-06-09 12:00,106.845
1907-02-23 12:00,287.725
1907-07-25 12:00,107.635
1907-12-17 12:00,287.979
1908-05-28 12:00,106.957
1908-07-01 12:00,106.351
1908-08-24 12:00,107.241
1909-01-29 12:00,287.139
1909-06-24 12:00,107.802
1909-11-23 12:00,287.773
1910-08-08 12:00,107.273
1910-12-31 12:00,287.634
1911-05-28 12:00,107.695
1912-02-13 12:00,287.897
1912-07-08 12:00,106.846
1912-12-02 12:00,287.651
1913-08-21 12:00,107.676
1914-01-14 12:00,286.964
1914-06-09 12:00,107.469
1915-02-22 12:00,286.89
1915-07-24 12:00,107.09
1915-12-16 12:00,287.39
1916-05-30 12:00,106.895
1916-06-24 12:00,106.715
1916-08-24 12:00,106.852
1917-01-29 12:00,287.801
1917-06-23 12:00,107.254
1917-11-22 12:00,286.89
1918-08-08 12:00,107.907
1918-12-30 12:00,287.058
1919-05-27 12:00,107.016
1920-02-12 12:00,287.256
1920-07-08 12:00,107.529
1920-12-01 12:00,287.001
1921-08-20 12:00,107.021
1922-01-14 12:00,287.642
1922-06-08 12:00,106.88
1923-02-22 12:00,287.152
1923-07-24 12:00,107.755
1923-12-16 12:00,288.034
1924-06-04 12:00,107.047
1924-06-16 12:00,106.692
1924-08-25 12:00,107.328
1925-01-28 12:00,287.201
1925-06-23 12:00,107.912
1925-11-22 12:00,287.023
1926-08-07 12:00,107.321
1926-12-30 12:00,287.723
1927-05-27 12:00,107.444
1928-02-12 12:00,287.826
1928-07-07 12:00,106.975
1928-12-01 12:00,287.547
1929-08-20 12:00,107.517
1930-01-13 12:00,287.058
1930-06-08 12:00,107.488
1931-02-22 12:00,287.436
1931-07-23 12:00,107.202
1931-12-15 12:00,287.433
1932-08-25 12:00,107.101
1933-01-28 12:00,287.861
1933-06-22 12:00,107.357
1933-11-22 12:00,287.143
1934-08-07 12:00,107.957
1934-12-29 12:00,287.153
1935-05-27 12:00,107.87
